account_id,account_owner,amount,authorized_date,authorized_datetime,category,category_id,check_number,counterparties,date,datetime,iso_currency_code,location,logo_url,merchant_entity_id,merchant_name,name,payment_channel,payment_meta,pending,pending_transaction_id,personal_finance_category,personal_finance_category_icon_url,transaction_code,transaction_id,transaction_type,unofficial_currency_code,website
VA7L598748h1rVVZQ6MMuxV6jww81Eu9ymPEN,,6.33,2025-05-31,,,,,"[{'name': 'Uber', 'type': 'merchant', 'website': 'uber.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/uber_1060.png', 'confidence_level': 'VERY_HIGH', 'entity_id': 'eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd', 'phone_number': None}]",2025-06-01,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",https://plaid-merchant-logos.plaid.com/uber_1060.png,eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd,Uber,Uber 072515 SF**POOL**,online,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'VERY_HIGH', 'detailed': 'TRANSPORTATION_TAXIS_AND_RIDE_SHARES', 'primary': 'TRANSPORTATION'}",https://plaid-category-icons.plaid.com/PFC_TRANSPORTATION.png,,QoaM5k1aB1SKVRRmaJjjFKyLzKpzAlCw6M7lm,special,,uber.com
JeKx5mPKLPHLJKKbk133uWJVM77Lg6FBM4gkl,,500.0,,,,,,[],2025-05-29,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,Tectra Inc,in store,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS', 'primary': 'ENTERTAINMENT'}",https://plaid-category-icons.plaid.com/PFC_ENTERTAINMENT.png,,E4gK56xgexCl61143LqqiKP6bKobdJC4eRk5Q,place,,
JeKx5mPKLPHLJKKbk133uWJVM77Lg6FBM4gkl,,2078.5,,,,,,[],2025-05-28,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,AUTOMATIC PAYMENT - THANK,online,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE', 'primary': 'GENERAL_MERCHANDISE'}",https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,,GPEz5maEZaCmA44Wv8rruNwxzN4zjgF6xBP7L,special,,
JeKx5mPKLPHLJKKbk133uWJVM77Lg6FBM4gkl,,500.0,,,,,,"[{'name': 'KFC', 'type': 'merchant', 'website': 'kfc.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/kfc_546.png', 'confidence_level': 'VERY_HIGH', 'entity_id': '3LmdknrdwVy9vm0dqj417rLKeJXW7veV7eb2e', 'phone_number': None}]",2025-05-28,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",https://plaid-merchant-logos.plaid.com/kfc_546.png,3LmdknrdwVy9vm0dqj417rLKeJXW7veV7eb2e,KFC,KFC,in store,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'VERY_HIGH', 'detailed': 'FOOD_AND_DRINK_FAST_FOOD', 'primary': 'FOOD_AND_DRINK'}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,,A3vVRmrvNrIVBkkPDmzzT1ZqR1DRzBf9JjAxm,place,,kfc.com
JeKx5mPKLPHLJKKbk133uWJVM77Lg6FBM4gkl,,500.0,,,,,,[],2025-05-28,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,Madison Bicycle Shop,in store,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'GENERAL_MERCHANDISE_SPORTING_GOODS', 'primary': 'GENERAL_MERCHANDISE'}",https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,,WGeM59EeNEFgpVVMyb11upb64p84aEC6y91Q8,place,,
wVeljoBeEBf9qJJ3jbllceJ1qGG3B9hPRNomd,,25.0,2025-05-18,,,,,[],2025-05-19,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,CREDIT CARD 3333 PAYMENT *//,other,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'LOAN_PAYMENTS_CREDIT_CARD_PAYMENT', 'primary': 'LOAN_PAYMENTS'}",https://plaid-category-icons.plaid.com/PFC_LOAN_PAYMENTS.png,,oVkDB7gkEgfzNggZn4RRh4yao4zonXfo5M7Vj,special,,
VA7L598748h1rVVZQ6MMuxV6jww81Eu9ymPEN,,5.4,2025-05-18,,,,,"[{'name': 'Uber', 'type': 'merchant', 'website': 'uber.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/uber_1060.png', 'confidence_level': 'VERY_HIGH', 'entity_id': 'eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd', 'phone_number': None}]",2025-05-19,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",https://plaid-merchant-logos.plaid.com/uber_1060.png,eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd,Uber,Uber 063015 SF**POOL**,online,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'VERY_HIGH', 'detailed': 'TRANSPORTATION_TAXIS_AND_RIDE_SHARES', 'primary': 'TRANSPORTATION'}",https://plaid-category-icons.plaid.com/PFC_TRANSPORTATION.png,,ZVGM5JKG7Kf8B66GRXooFNZQoNeok5FemRX1y,special,,uber.com
k5rDq41rE1fBaPPn3LXXs8aJyrrAj1uLDQdoy,,5850.0,,,,,,[],2025-05-18,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,ACH Electronic CreditGUSTO PAY 123456,online,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': 'ACH', 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_PLANNING', 'primary': 'GENERAL_SERVICES'}",https://plaid-category-icons.plaid.com/PFC_GENERAL_SERVICES.png,,mVBDkPpBypfGWJJjp4rrCd14qdLqn9fgpmdQ7,special,,
5E1bgjZ1pZHzGDD9NX88hLDaNPPQ7MF5yw78e,,1000.0,,,,,,[],2025-05-18,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,CD DEPOSIT .INITIAL.,other,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'FOOD_AND_DRINK_COFFEE', 'primary': 'FOOD_AND_DRINK'}",https://plaid-category-icons.plaid.com/PFC_FOOD_AND_DRINK.png,,8G8mkQL8KLFpD11PbMWWhRyQxRzxDrCWp1LJ1,special,,
JeKx5mPKLPHLJKKbk133uWJVM77Lg6FBM4gkl,,78.5,2025-05-16,,,,,[],2025-05-17,,USD,"{'address': None, 'city': None, 'region': None, 'postal_code': None, 'country': None, 'lat': None, 'lon': None, 'store_number': None}",,,,Touchstone Climbing,in store,"{'reference_number': None, 'ppd_id': None, 'payee': None, 'by_order_of': None, 'payer': None, 'payment_method': None, 'payment_processor': None, 'reason': None}",False,,"{'confidence_level': 'LOW', 'detailed': 'PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS', 'primary': 'PERSONAL_CARE'}",https://plaid-category-icons.plaid.com/PFC_PERSONAL_CARE.png,,nV3Dzjo3EofopaaJeQ55uao48a18NmsAVeWM7,place,,
